place_freeform;latitude;longitude
Studenec;50,55344;15,54936
Studénka;49,72342;18,07853
Studénka;49,72342;18,07853
Suchá Loz;48,97001;17,71379
Suchdol nad Odrou;49,65572205;17,92815496
Sušice;49,23106;13,52018
Svatobořice-Mistřín;48,98366644;17,0949094
Světlá nad Sázavou;49,66801;15,40393
Sviadnov;49,68926;18,32762
Svitavy;49,75594;16,46829
Svoboda nad Úpou;50,62596;15,81648
Svratka;49,71066;16,03214
Šebetov;49,54862;16,71162
Šenov;49,79315;18,37607
Šlapanice;49,16863;16,72731
Šlapanov;49,54242;15,65768
Šluknov;51,00369;14,45258
Šonov;50,3811983;16,1159492
Štěpánov;49,68404;17,22041
Šternberk;49,73044;17,29889
Štětí;50,45298;14,37421
Štítina;49,91487;18,01245
Štítná nad Vláří;49,06881;17,98274
Štíty;49,96122;16,76576
Štoky;49,50249;15,58863
Štramberk;49,59181;18,11741
Šumperk;49,96528;16,97061
Švihov;49,48136;13,28417
Tábor;49,41441;14,6578
Tachlovice;50,01445;14,24068
Tachov;49,79528;12,63365
Tanvald;50,73735;15,30585
Tatobity;50,57124;15,27316
Telč;49,18418;15,45275
Teplice;50,6404;13,82451
Terezín;50,511;14,15055
Tetčice;49,16869;16,40516
Tišnov;49,34872;16,42438
Tlučná;49,72425;13,23534
Trutnov;50,56101;15,9127
Třebechovice pod Orebem;50,20097;15,99223
Třebíč;49,21492;15,88166
Třeboň;49,00364;14,77065
Třemošná;49,81584;13,39499
Třemošnice;49,86912;15,58002
Třinec;49,67763;18,67078
Třinec;49,67763;18,67078
Tupesy;49,08427;17,36983
Turnov;50,58356;15,15186
Tvarožná;49,19177;16,77146
Týn nad Vltavou;49,2234;14,42057
Týnec;50,04202;15,35836
Týnec nad Sázavou;49,83348;14,58983
Uherčice;48,9678;16,65344
Uherské Hradiště;49,06975;17,45969
Uherský Brod;49,02513;17,64715
Uherský Ostroh;48,98556;17,38984
Uhlířské Janovice;49,88019;15,06481
Uhřičice;49,37157;17,29033
Újezd;49,83124929;13,83746781
Újezd u Brna;49,1043477;16,75736824
Úpice;50,51237;16,01607
Ústí nad Labem;50,6607;14,03227
Ústí nad Orlicí;49,97387;16,39361
Úvaly;50,07394;14,7308
Vacanovice;49,5442961;17,3901222
Valašské Meziříčí;49,47181;17,97113
Vamberk;50,11756;16,29067
Varnsdorf;50,91154;14,61824
Vejprty;50,49232;13,03212
Velešín;48,82949;14,46252
Velká Bystřice;49,5948;17,36544
Velká Hleďsebe;49,96151;12,66763
Velká Polom;49,86359;18,09331
Velké Hostěrádky;49,03314;16,87023
Velké Meziříčí;49,35522;16,01224
Velké Poříčí;50,46177;16,18931
Velký Týnec;49,54994;17,33359
Velký Újezd;49,57858;17,48347
Verměřovice;50,00549;16,56255
Veřovice;49,53916;18,11425
Veselí nad Lužnicí;49,1843;14,69734
Veselí nad Moravou;48,95363;17,37648
Veverská Bítýška;49,27591;16,43686
Vilémovice;49,36379;16,74673
Vimperk;49,05857;13,78286
Višňová;48,98241;16,15025
Vizovice;49,22287;17,85455
Vlašim;49,70632;14,89881
Vodňany;49,14789;14,17513
Volyně;49,16578;13,88624
Votice;49,64013;14,63809
Vracov;48,97523;17,211
Vrané nad Vltavou;49,93585;14,37706
Vranovice;48,966;16,6066
Vrbátky;49,50805;17,19994
Vrchlabí;50,62697;15,60937
Vrchotovy Janovice;49,66682;14,5778
Vřesina;49,82418;18,12569
Vsetín;49,33871;17,99619
Všenory;49,92883;14,30392
Vysočany;49,4320886;16,8115544
Vysoké Mýto;49,9532;16,16169
Vyškov;49,27747;16,99897
Vyšší Brod;48,61598;14,31183
Zábřeh;49,8826;16,87223
Zákupy;50,68475;14,64522
Zápy;50,165;14,68005
Zbiroh;49,86024;13,77262
Zbraslav;49,9699806;14,3888847
Zbýšov;49,15524;16,34951
Zeleneč;50,13362;14,6607
Zlaté Hory;50,26379808;17,3960176
Zlín;49,22645;17,67065
Zlín-Malenovice;49,2074894;17,5981964
Znojmo;48,8555;16,0488
Zruč-Senec;49,80770004;13,42638122
Žamberk;50,08601;16,46738
Žatčany;49,08789;16,73374
Žatec;50,32717;13,54577
Žatec;50,32717;13,54577
Žďár nad Sázavou;49,56263;15,93924
Želechovice;49,7541;17,14394
Želešice;49,11689;16,58137
Želetice;49,01423;17,00811
Železný Brod;50,64274;15,25408
Židlochovice;49,03952;16,61881
Žirovnice;49,25318;15,18824
Ostrava-východ;49,831308;18,321345
Praha-Suchdol;50,1330697;14,3767614
Sepekov;49,4286494;14,4181519
Černošín;49,8161342;12,8838125
Štěnovice;49,6705136;13,3996303
Blíževedly;50,6084;14,3964872
Šebrov-Kateřina;49,3295903;16,5985514
